id,pre_sync_eeg,pre_sync_tapping,pre_mir_eeg,pre_mir_tapping
6,1,1,1,1
7,1,1,1,1
8,1,1,1,1
9,1,0,1,1
10,1,1,1,1
11,1,1,1,1
12,1,1,1,1
13,1,1,1,1
14,1,1,1,0
15,0,0,0,0
16,1,1,1,1
17,1,1,1,1
18,1,1,1,1
19,1,0,0,0
20,1,1,1,1
21,0,0,0,0
22,0,0,0,0
23,1,1,0,0
24,1,1,1,1
25,1,1,1,1
26,1,1,1,0
27,NaN,NaN,NaN,NaN
28,NaN,NaN,NaN,NaN
29,NaN,NaN,NaN,NaN
30,NaN,NaN,NaN,NaN
31,NaN,NaN,NaN,NaN
32,NaN,NaN,NaN,NaN
33,NaN,NaN,NaN,NaN
34,NaN,NaN,NaN,NaN
35,NaN,NaN,NaN,NaN
36,NaN,NaN,NaN,NaN
37,NaN,NaN,NaN,NaN
38,NaN,NaN,NaN,NaN
39,NaN,NaN,NaN,NaN
40,NaN,NaN,NaN,NaN
41,NaN,NaN,NaN,NaN
42,NaN,NaN,NaN,NaN
43,NaN,NaN,NaN,NaN
44,NaN,NaN,NaN,NaN
45,NaN,NaN,NaN,NaN
46,NaN,NaN,NaN,NaN
47,NaN,NaN,NaN,NaN
48,NaN,NaN,NaN,NaN
49,NaN,NaN,NaN,NaN
50,NaN,NaN,NaN,NaN