portcode,filename,original_filename,properties,notes
101,101.mp3,04.mp3,LR3,
102,102.mp3,04.mp3,LR3,
103,103.mp3,04.mp3,LR3,
104,104.mp3,04.mp3,LR3,
105,105.mp3,04.mp3,LR3,
106,106.mp3,04.mp3,LR3,
111,111.mp3,13.mp3,LR6,
112,112.mp3,13.mp3,LR6,
113,113.mp3,13.mp3,LR6,
114,114.mp3,13.mp3,LR6,
115,115.mp3,13.mp3,LR6,
116,116.mp3,13.mp3,LR6,
121,121.mp3,31.mp3,MR1,son clave
122,122.mp3,31.mp3,MR1,son clave
123,123.mp3,31.mp3,MR1,son clave
124,124.mp3,31.mp3,MR1,son clave
125,125.mp3,31.mp3,MR1,son clave
126,126.mp3,31.mp3,MR1,son clave
131,131.mp3,40.mp3,MR2,rumba clave
132,132.mp3,40.mp3,MR2,rumba clave
133,133.mp3,40.mp3,MR2,rumba clave
134,134.mp3,40.mp3,MR2,rumba clave
135,135.mp3,40.mp3,MR2,rumba clave
136,136.mp3,40.mp3,MR2,rumba clave
141,141.mp3,58.mp3,HR1,
142,142.mp3,58.mp3,HR1,
143,143.mp3,58.mp3,HR1,
144,144.mp3,58.mp3,HR1,
145,145.mp3,58.mp3,HR1,
146,146.mp3,58.mp3,HR1,
151,151.mp3,67.mp3,HR3,
152,152.mp3,67.mp3,HR3,
153,153.mp3,67.mp3,HR3,
154,154.mp3,67.mp3,HR3,
155,155.mp3,67.mp3,HR3,
156,156.mp3,67.mp3,HR3,